COM_CODE3,Company HMRC Ref,Month
811292810,3,2016-01-01
482010900,15,2016-01-01
490110000,194,2016-01-01
711319000,180,2016-01-01
847141000,207,2016-01-01
841821100,4,2016-01-01
851718000,109,2016-01-01
841391000,251,2016-01-01
880310000,66,2016-01-01
940510910,34,2016-01-01
870323110,13,2016-01-01
391510000,52,2016-01-01
853650800,125,2016-01-01
830170000,15,2016-01-01
842310900,8,2016-01-01
901600900,9,2016-01-01
901890100,69,2016-01-01
731811000,133,2016-01-01
840999000,295,2016-01-01
870810100,183,2016-01-01
40900000,11,2016-01-01
121190860,18,2016-01-01
130219700,14,2016-01-01
151219900,8,2016-01-01
292429980,10,2016-01-01
340213000,33,2016-01-01
902690000,174,2016-01-01
830130000,5,2016-01-01
870120900,43,2016-01-01
902910000,28,2016-01-01
731590000,6,2016-01-01
851840800,35,2016-01-01
851850000,47,2016-01-01
852190000,73,2016-01-01
852290800,41,2016-01-01
852799000,15,2016-01-01
854370900,312,2016-01-01
940510210,80,2016-01-01
970500000,41,2016-01-01
847180000,188,2016-01-01
847330200,178,2016-01-01
847330800,215,2016-01-01
852851000,47,2016-01-01
680610000,25,2016-01-01
842139200,86,2016-01-01
903149100,86,2016-01-01
300590100,22,2016-01-01
392010890,16,2016-01-01
392113100,22,2016-01-01
392290000,33,2016-01-01
400811000,16,2016-01-01
820310000,10,2016-01-01
830890000,27,2016-01-01
841490000,177,2016-01-01
901890840,347,2016-01-01
940210000,8,2016-01-01
610520100,24,2016-01-01
848110190,45,2016-01-01
340290100,73,2016-01-01
381300000,13,2016-01-01
854449990,25,2016-01-01
392010230,16,2016-01-01
844319700,7,2016-01-01
903082000,14,2016-01-01
847321100,50,2016-01-01
392061000,14,2016-01-01
731819000,65,2016-01-01
850680800,24,2016-01-01
853669900,115,2016-01-01
853890990,141,2016-01-01
853921920,10,2016-01-01
853929920,10,2016-01-01
853932900,11,2016-01-01
854442900,168,2016-01-01
940540990,69,2016-01-01
940591900,9,2016-01-01
841280800,11,2016-01-01
850450950,21,2016-01-01
920991000,3,2016-01-01
511219000,26,2016-01-01
730110000,10,2016-01-01
732090100,19,2016-01-01
848180810,89,2016-01-01
854011000,5,2016-01-01
701959000,23,2016-01-01
721499950,6,2016-01-01
722220210,6,2016-01-01
900653800,3,2016-01-01
220830300,55,2016-01-01
220830610,4,2016-01-01
220840110,9,2016-01-01
330749000,35,2016-01-01
392321000,47,2016-01-01
701090790,3,2016-01-01
391739000,46,2016-01-01
850410800,18,2016-01-01
851220000,73,2016-01-01
853620100,37,2016-01-01
853630100,39,2016-01-01
853669100,36,2016-01-01
853690850,198,2016-01-01
853931900,8,2016-01-01
940510980,46,2016-01-01
940540100,36,2016-01-01
841480730,6,2016-01-01
870829900,68,2016-01-01
870870100,20,2016-01-01
170490510,8,2016-01-01
730799100,38,2016-01-01
130190000,8,2016-01-01
660110000,7,2016-01-01
660191000,5,2016-01-01
220210000,52,2016-01-01
220290110,8,2016-01-01
220290990,18,2016-01-01
902300100,49,2016-01-01
842649000,5,2016-01-01
843041000,2,2016-01-01
170490810,11,2016-01-01
170490990,36,2016-01-01
180610150,9,2016-01-01
180690190,33,2016-01-01
190590900,51,2016-01-01
200799970,5,2016-01-01
200990960,3,2016-01-01
850300910,11,2016-01-01
681320000,7,2016-01-01
848190000,311,2016-01-01
870891350,23,2016-01-01
40690990,11,2016-01-01
842890900,57,2016-01-01
870919900,3,2016-01-01
961210800,15,2016-01-01
382200000,292,2016-01-01
482320000,18,2016-01-01
701720000,15,2016-01-01
701790000,29,2016-01-01
841989980,48,2016-01-01
847982000,39,2016-01-01
902519800,41,2016-01-01
620892000,17,2016-01-01
621290000,19,2016-01-01
490599000,14,2016-01-01
841290800,87,2016-01-01
853120200,52,2016-01-01
853649000,66,2016-01-01
853610900,15,2016-07-01
621710000,87,2016-07-01
847130000,423,2016-07-01
90111000,12,2016-07-01
392490000,102,2016-07-01
490199000,433,2016-07-01
611510900,6,2016-07-01
611595000,25,2016-07-01
330499000,280,2016-07-01
730490000,19,2016-07-01
847150000,175,2016-07-01
853710910,133,2016-07-01
560121100,6,2016-07-01
392620000,50,2016-07-01
482110900,47,2016-07-01
540761100,4,2016-07-01
560410000,14,2016-07-01
,2153,2016-07-01
600410000,23,2016-07-01
600531500,2,2016-07-01
600632900,5,2016-07-01
960621000,19,2016-07-01
960719000,14,2016-07-01
851770900,183,2016-07-01
853610100,403,2016-07-01
911310100,3,2016-07-01
330510000,103,2016-07-01
340219000,32,2016-07-01
340290100,69,2016-07-01
340290900,107,2016-07-01
920991000,3,2016-07-01
920999200,11,2016-07-01
490900000,95,2016-07-01
220850110,31,2016-07-01
940390900,76,2016-07-01
420221000,124,2016-07-01
420310000,94,2016-07-01
610210100,41,2016-07-01
610210900,7,2016-07-01
610413000,35,2016-07-01
610441000,25,2016-07-01
610443000,77,2016-07-01
610444000,45,2016-07-01
610453000,23,2016-07-01
610463000,30,2016-07-01
610620000,27,2016-07-01
620111000,50,2016-07-01
620211000,54,2016-07-01
620311000,46,2016-07-01
620411000,31,2016-07-01
620412000,13,2016-07-01
620419900,4,2016-07-01
620423800,5,2016-07-01
620431000,26,2016-07-01
620439190,14,2016-07-01
620441000,30,2016-07-01
620442000,99,2016-07-01
620443000,130,2016-07-01
620444000,57,2016-07-01
620449100,78,2016-07-01
620451000,19,2016-07-01
620459100,20,2016-07-01
620461100,17,2016-07-01
620463180,37,2016-07-01
620469180,19,2016-07-01
620520000,113,2016-07-01
620610000,39,2016-07-01
620620000,23,2016-07-01
620640000,72,2016-07-01
620711000,10,2016-07-01
620899000,14,2016-07-01
621010100,194,2016-07-01
621143900,41,2016-07-01
640351190,12,2016-07-01
640359110,9,2016-07-01
640359990,32,2016-07-01
650500300,40,2016-07-01
650500900,55,2016-07-01
940290000,61,2016-07-01
870899100,68,2016-07-01
844332990,4,2016-07-01
845811200,7,2016-07-01
846120000,6,2016-07-01
847170200,43,2016-07-01
847190000,299,2016-07-01
847330800,213,2016-07-01
851762000,551,2016-07-01
853400110,94,2016-07-01
848190000,340,2016-07-01
903039000,47,2016-07-01
420211100,62,2016-07-01
630510100,47,2016-07-01
851511000,12,2016-07-01
970600000,244,2016-07-01
420222100,51,2016-07-01
940510210,103,2016-07-01
711810000,13,2016-07-01
970400000,5,2016-07-01
321410100,56,2016-07-01
321490000,47,2016-07-01
391740000,122,2016-07-01
481910000,64,2016-07-01
722300110,6,2016-07-01
852872400,14,2016-07-01
610910000,187,2016-07-01
441400900,21,2016-07-01
381300000,12,2016-07-01
681510100,40,2016-07-01
880330000,525,2016-07-01
761699900,181,2016-07-01
852580190,76,2016-07-01
852580910,23,2016-07-01
852580990,45,2016-07-01
870870100,20,2016-07-01
870870500,34,2016-07-01
950300290,4,2016-07-01
841311000,55,2016-07-01
848140100,73,2016-07-01
854320000,36,2016-07-01
852990410,13,2016-07-01
900720000,9,2016-07-01
854140100,71,2016-07-01
853810000,60,2016-07-01
901510100,15,2016-07-01
901590000,58,2016-07-01
841459200,40,2016-07-01
847330200,164,2016-07-01
902290000,52,2016-07-01
732690980,432,2016-07-01
750512000,39,2016-07-01
960200000,15,2016-07-01
970300000,117,2016-07-01
420299000,46,2016-07-01
970190000,48,2016-07-01
841931000,5,2016-07-01
871690100,6,2016-07-01
871690900,51,2016-07-01
320810100,29,2016-07-01
320820900,35,2016-07-01
392190430,8,2016-07-01
560790900,14,2016-07-01
580632100,18,2016-07-01
681410000,6,2016-07-01
850300910,23,2016-07-01
854449930,43,2016-07-01
854470000,69,2016-07-01
870899970,868,2016-07-01
853890190,21,2016-07-01
853890910,69,2016-07-01
292129000,10,2016-07-01
300590990,41,2016-07-01
320910000,48,2016-07-01
340220900,77,2016-07-01
340530000,19,2016-07-01
340590100,15,2016-07-01
340590900,28,2016-07-01
350610000,45,2016-07-01
350691000,77,2016-07-01
382490700,17,2016-07-01
390730000,58,2016-07-01
390950900,46,2016-07-01
391729000,40,2016-07-01
391739000,55,2016-07-01
391910800,57,2016-07-01
391990000,145,2016-07-01
392190100,18,2016-07-01
392190600,13,2016-07-01
392630000,49,2016-07-01
392690970,754,2016-07-01
481141900,15,2016-07-01
560312900,9,2016-07-01
560313900,11,2016-07-01
560314900,16,2016-07-01
591190900,43,2016-07-01
621010980,11,2016-07-01
630790980,97,2016-07-01
650610800,26,2016-07-01
680510000,13,2016-07-01
680520000,11,2016-07-01
680530000,22,2016-07-01
760719900,10,2016-07-01
760720900,13,2016-07-01
790700000,18,2016-07-01
842139800,55,2016-07-01
842199000,164,2016-07-01
846799000,42,2016-07-01
850431800,53,2016-07-01
850440820,40,2016-07-01
850440900,164,2016-07-01
850750000,8,2016-07-01
850760000,47,2016-07-01
902000000,74,2016-07-01
960350000,20,2016-07-01
300490000,261,2016-07-01
848180990,231,2016-07-01
903300000,184,2016-07-01
300420000,30,2016-07-01
300432000,13,2016-07-01
847160700,88,2016-07-01
292250000,11,2016-07-01
292910000,10,2016-07-01
390290900,6,2016-07-01
390720200,12,2016-07-01
391910120,45,2016-07-01
391910150,13,2016-07-01
392020290,12,2016-07-01
392020800,15,2016-07-01
392069000,16,2016-07-01
392119000,33,2016-07-01
400690000,20,2016-07-01
481141200,7,2016-07-01
482369900,15,2016-07-01
482390850,35,2016-07-01
761290200,10,2016-07-01
820713000,58,2016-07-01
841231000,24,2016-07-01
852580300,81,2016-07-01
902750000,122,2016-07-01
630291000,14,2016-07-01
848790900,292,2016-07-01
854390000,188,2016-07-01
732392000,8,2016-07-01
853120950,17,2016-07-01
392640000,27,2016-07-01
732690960,13,2016-07-01
731829000,150,2016-07-01
330300100,72,2016-07-01
401219000,4,2016-07-01
420292910,55,2016-07-01
482010300,26,2016-07-01
491199000,150,2016-07-01
580790100,3,2016-07-01
610130100,5,2016-07-01
610510000,77,2016-07-01
610520100,23,2016-07-01
620192000,44,2016-07-01
640299930,4,2016-07-01
850780000,28,2016-07-01
852351100,38,2016-07-01
910211000,58,2016-07-01
950300850,20,2016-07-01
950300990,109,2016-07-01
400921000,13,2016-07-01
854370100,44,2016-07-01
401110000,27,2016-07-01
902790500,172,2016-07-01
854411100,73,2016-07-01
902780170,104,2016-07-01
847990800,326,2016-07-01
903210200,45,2016-07-01
854370900,359,2016-07-01
210120920,4,2016-07-01
340130000,69,2016-07-01
621050000,76,2016-07-01
640590900,31,2016-07-01
847989970,323,2016-07-01
847180000,193,2016-07-01
